eval_returns_Average,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Initial_DataCollection_AverageReturn
646.2222,887.3764,3980.0,0.0,93.13333333333334,740.0,0.0,740.0,740.0,88.0,45.0
544.68085,463.07413,1590.0,0.0,90.31914893617021,425.0,405.0,830.0,20.0,74.5,45.0
684.34784,827.2733,4020.0,20.0,89.41304347826087,2280.0,0.0,2280.0,2280.0,116.0,45.0
847.75,959.8684,3420.0,30.0,103.1,170.0,100.0,270.0,70.0,52.5,45.0
599.3333,589.57764,2120.0,10.0,92.53333333333333,130.0,70.0,200.0,60.0,43.0,45.0
613.3333,681.66,3000.0,0.0,98.0,2040.0,0.0,2040.0,2040.0,104.0,45.0
659.5833,778.9335,2910.0,20.0,87.27083333333333,770.0,0.0,770.0,770.0,105.0,45.0
574.34784,460.28653,2140.0,0.0,91.21739130434783,360.0,0.0,360.0,360.0,81.0,45.0
774.4186,851.4838,2830.0,20.0,97.65116279069767,800.0,0.0,800.0,800.0,151.0,45.0
796.5909,941.8815,3650.0,20.0,93.4090909090909,2400.0,0.0,2400.0,2400.0,165.0,45.0
963.5714,1089.3354,3070.0,40.0,100.35714285714286,320.0,0.0,320.0,320.0,67.0,45.0
877.75,1026.0762,3010.0,0.0,102.525,1210.0,0.0,1210.0,1210.0,86.0,45.0
649.76746,601.759,2410.0,10.0,98.25581395348837,230.0,0.0,230.0,230.0,125.0,45.0
919.3182,959.217,2950.0,0.0,94.72727272727273,300.0,0.0,300.0,300.0,81.0,45.0
564.4898,642.56525,2350.0,10.0,87.06122448979592,170.0,100.0,270.0,70.0,113.0,45.0
601.3043,532.8211,2210.0,20.0,89.34782608695652,50.0,30.0,80.0,20.0,40.0,45.0
846.27905,1044.0619,3000.0,0.0,95.97674418604652,2520.0,0.0,2520.0,2520.0,132.0,45.0
1024.8718,1218.4497,4100.0,0.0,107.56410256410257,603.3333,709.94525,1600.0,0.0,60.333333333333336,45.0
578.0851,572.39935,3620.0,0.0,87.23404255319149,75.0,35.0,110.0,40.0,36.5,45.0
750.0,863.9294,3710.0,10.0,89.23913043478261,45.0,45.0,90.0,0.0,35.5,45.0
770.42554,958.2874,2630.0,0.0,88.29787234042553,840.0,0.0,840.0,840.0,104.0,45.0
586.5909,577.9429,1930.0,0.0,93.20454545454545,90.0,70.0,160.0,20.0,51.0,45.0
669.4872,776.3226,2980.0,0.0,106.15384615384616,545.0,545.0,1090.0,0.0,80.5,45.0
533.48834,476.70325,1830.0,0.0,96.02325581395348,450.0,0.0,450.0,450.0,73.0,45.0
783.72095,871.96124,2760.0,0.0,96.0,100.0,70.0,170.0,30.0,123.0,45.0
626.2222,619.6318,2710.0,30.0,91.91111111111111,305.0,245.0,550.0,60.0,63.5,45.0
1065.9524,1297.505,4300.0,20.0,99.38095238095238,1295.0,1235.0,2530.0,60.0,115.0,45.0
701.36365,743.4887,2520.0,10.0,93.27272727272727,850.0,810.0,1660.0,40.0,96.5,45.0
827.3913,983.93274,4170.0,0.0,91.56521739130434,165.0,165.0,330.0,0.0,51.0,45.0
900.2222,1068.8904,3830.0,0.0,92.33333333333333,270.0,0.0,270.0,270.0,100.0,45.0
907.1429,1112.9418,3920.0,0.0,98.19047619047619,2440.0,0.0,2440.0,2440.0,191.0,45.0
1073.3334,1217.8655,3430.0,20.0,105.23076923076923,3270.0,0.0,3270.0,3270.0,73.0,45.0
534.0,538.26013,2220.0,0.0,84.4,165.0,15.0,180.0,150.0,44.0,45.0
708.86365,731.5401,2800.0,0.0,95.61363636363636,175.0,5.0,180.0,170.0,46.5,45.0
943.5,1156.0137,4390.0,20.0,105.575,1650.0,0.0,1650.0,1650.0,86.0,45.0
951.6667,1259.448,5180.0,10.0,100.23809523809524,560.0,0.0,560.0,560.0,84.0,45.0
673.2558,681.8365,2350.0,40.0,95.79069767441861,1660.0,0.0,1660.0,1660.0,81.0,45.0
888.53656,948.54333,3110.0,20.0,101.97560975609755,480.0,420.0,900.0,60.0,69.0,45.0
898.0952,1110.5173,3400.0,0.0,98.5,1110.0,0.0,1110.0,1110.0,93.0,45.0
1078.0952,1369.0338,4640.0,0.0,99.54761904761905,80.0,20.0,100.0,60.0,44.5,45.0
638.1395,633.3457,2170.0,0.0,96.37209302325581,165.0,115.0,280.0,50.0,46.5,45.0
985.75,968.3514,4300.0,10.0,103.9,770.0,770.0,1540.0,0.0,88.5,45.0
796.8889,1078.9724,5140.0,0.0,95.24444444444444,880.0,870.0,1750.0,10.0,104.0,45.0
613.04346,695.113,3150.0,10.0,90.84782608695652,560.0,560.0,1120.0,0.0,54.0,45.0
731.1111,854.9678,2800.0,0.0,91.55555555555556,90.0,0.0,90.0,90.0,66.0,45.0
807.67444,881.0006,4320.0,20.0,96.48837209302326,1010.0,0.0,1010.0,1010.0,132.0,45.0
696.95654,837.6205,3400.0,0.0,89.8913043478261,655.0,535.0,1190.0,120.0,109.5,45.0
736.1905,904.85187,4230.0,10.0,97.92857142857143,50.0,30.0,80.0,20.0,39.0,45.0
852.381,1023.9555,3310.0,0.0,99.38095238095238,790.0,790.0,1580.0,0.0,74.5,45.0
675.12195,592.0289,2430.0,40.0,101.41463414634147,2310.0,0.0,2310.0,2310.0,226.0,45.0
669.3333,736.42194,2250.0,0.0,92.0,75.0,15.0,90.0,60.0,43.0,45.0
1141.0,1290.9391,4700.0,0.0,103.475,710.0,0.0,710.0,710.0,209.0,45.0
1021.6279,1342.436,5080.0,10.0,97.51162790697674,960.0,0.0,960.0,960.0,106.0,45.0
988.71796,1148.8103,4050.0,0.0,107.71794871794872,745.0,745.0,1490.0,0.0,84.0,45.0
1097.8948,1307.0038,3920.0,20.0,107.86842105263158,100.0,0.0,100.0,100.0,73.0,45.0
934.5455,1123.3787,4120.0,0.0,94.0,1760.0,0.0,1760.0,1760.0,117.0,45.0
866.5909,1066.6982,3350.0,0.0,96.43181818181819,156.66667,97.410934,290.0,60.0,39.666666666666664,45.0
974.8837,1137.2373,3810.0,20.0,96.23255813953489,2310.0,0.0,2310.0,2310.0,106.0,45.0
1037.619,1303.1113,4060.0,20.0,98.85714285714286,1490.0,1490.0,2980.0,0.0,73.0,45.0
777.0213,977.563,2970.0,10.0,89.91489361702128,340.0,290.0,630.0,50.0,71.0,45.0
707.3333,898.8076,4120.0,10.0,91.24444444444444,1260.0,1180.0,2440.0,80.0,91.5,45.0
843.913,1000.30743,3680.0,20.0,92.97826086956522,125.0,35.0,160.0,90.0,53.0,45.0
931.02563,1077.3918,3410.0,20.0,106.46153846153847,1225.0,1225.0,2450.0,0.0,81.0,45.0
1003.3333,1206.5002,3940.0,10.0,106.46153846153847,900.0,0.0,900.0,900.0,114.0,45.0
976.3415,1184.4928,3580.0,0.0,101.26829268292683,153.33333,169.77109,390.0,0.0,42.0,45.0
1022.439,1137.3628,3080.0,0.0,103.82926829268293,40.0,40.0,80.0,0.0,83.0,45.0
640.9756,773.74854,3740.0,10.0,100.73170731707317,1380.0,0.0,1380.0,1380.0,156.0,45.0
1038.7179,1286.0219,4130.0,0.0,105.41025641025641,655.0,605.0,1260.0,50.0,88.0,45.0
1036.1904,1242.045,4260.0,0.0,101.61904761904762,1290.0,1220.0,2510.0,70.0,122.5,45.0
931.75,1119.1578,3090.0,0.0,105.875,50.0,32.659863,90.0,10.0,40.0,45.0
912.6087,1159.6241,4160.0,0.0,92.0,100.0,0.0,100.0,100.0,66.0,45.0
900.4762,1025.169,2830.0,20.0,98.61904761904762,430.0,220.0,650.0,210.0,94.0,45.0
1069.2683,1247.1086,3890.0,0.0,101.09756097560975,1140.0,0.0,1140.0,1140.0,84.0,45.0
902.619,1095.8712,3250.0,0.0,97.57142857142857,1205.0,1205.0,2410.0,0.0,101.0,45.0
748.5,740.22815,2850.0,40.0,102.925,510.0,0.0,510.0,510.0,69.0,45.0
649.5349,564.9159,2230.0,0.0,97.62790697674419,700.0,0.0,700.0,700.0,128.0,45.0
607.44183,619.4862,1900.0,0.0,99.74418604651163,240.0,180.0,420.0,60.0,69.0,45.0
987.25,1187.1141,4230.0,30.0,103.05,1056.6666,1409.5941,3050.0,40.0,98.0,45.0
727.9545,805.87775,3570.0,0.0,95.06818181818181,125.0,65.0,190.0,60.0,36.0,45.0
972.3077,1091.387,3450.0,0.0,106.1025641025641,230.0,0.0,230.0,230.0,101.0,45.0
713.1707,674.5602,2950.0,0.0,102.5609756097561,810.0,0.0,810.0,810.0,118.0,45.0
722.1429,779.48566,2820.0,30.0,98.47619047619048,0.0,0.0,0.0,0.0,34.5,45.0
1055.6097,1227.2079,4030.0,0.0,105.8780487804878,280.0,280.0,560.0,0.0,61.5,45.0
1095.2632,1324.0482,3540.0,0.0,108.73684210526316,350.0,180.0,530.0,170.0,70.0,45.0
670.0,587.78595,1920.0,0.0,106.46153846153847,815.0,635.0,1450.0,180.0,115.0,45.0
1131.75,1249.6777,4130.0,30.0,108.4,125.0,25.0,150.0,100.0,41.0,45.0
1075.4762,1307.2585,4670.0,0.0,97.54761904761905,800.0,100.0,900.0,700.0,82.5,45.0
849.0,1012.74084,3540.0,0.0,103.025,995.0,175.0,1170.0,820.0,95.5,45.0
1053.8462,1267.4578,4500.0,0.0,106.12820512820512,530.0,0.0,530.0,530.0,98.0,45.0
1013.1818,1233.0962,3970.0,20.0,96.18181818181819,290.0,0.0,290.0,290.0,94.0,45.0
990.2564,1204.3649,3770.0,20.0,107.71794871794872,920.0,0.0,920.0,920.0,133.0,45.0
748.3333,713.70905,2560.0,0.0,100.14285714285714,1550.0,0.0,1550.0,1550.0,172.0,45.0
1106.8422,1432.4163,5960.0,20.0,108.84210526315789,410.0,0.0,410.0,410.0,76.0,45.0
1125.4054,1291.0955,3820.0,10.0,111.32432432432432,455.0,455.0,910.0,0.0,48.0,45.0
1008.1395,1094.6896,3420.0,0.0,97.23255813953489,335.0,245.0,580.0,90.0,70.0,45.0
923.1707,1134.5021,3790.0,10.0,103.78048780487805,180.0,180.0,360.0,0.0,65.5,45.0
1002.1951,1252.8436,4530.0,0.0,100.51219512195122,1460.0,1460.0,2920.0,0.0,155.5,45.0
1043.9474,1261.504,3550.0,0.0,108.07894736842105,1530.0,0.0,1530.0,1530.0,135.0,45.0
991.3158,1054.0078,3340.0,10.0,110.60526315789474,430.0,430.0,860.0,0.0,58.5,45.0
1118.9744,1309.607,3950.0,20.0,106.07692307692308,410.0,0.0,410.0,410.0,183.0,45.0
636.5854,613.4334,2780.0,10.0,102.04878048780488,1070.0,650.0,1720.0,420.0,67.5,45.0
719.5122,664.39026,2730.0,0.0,102.46341463414635,100.0,10.0,110.0,90.0,37.5,45.0
732.2857,787.724,2430.0,0.0,118.6,120.0,0.0,120.0,120.0,94.0,45.0
1112.75,1249.0396,3910.0,0.0,106.225,555.0,555.0,1110.0,0.0,61.0,45.0
