trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Initial_DataCollection_AverageReturn
37.54348,33.76048,112.0,0.0,89.34782608695652,50.0,0.0,50.0,50.0,116.0,3.0
37.25,32.592613,113.0,0.0,96.9090909090909,47.0,0.0,47.0,47.0,120.0,3.0
40.31579,31.736668,114.0,4.0,109.02631578947368,18.0,18.0,36.0,0.0,63.0,3.0
37.439026,32.233936,113.0,0.0,100.51219512195122,19.0,0.0,19.0,19.0,79.0,3.0
36.604652,28.295074,111.0,0.0,97.97674418604652,43.5,43.5,87.0,0.0,78.0,3.0
35.333332,32.32955,102.0,0.0,92.15555555555555,73.0,0.0,73.0,73.0,155.0,3.0
38.32558,32.755417,104.0,0.0,95.83720930232558,35.0,28.0,63.0,7.0,73.0,3.0
38.77778,35.871307,117.0,0.0,92.0,25.5,25.5,51.0,0.0,72.5,3.0
39.076923,35.54873,121.0,0.0,106.7948717948718,15.5,10.5,26.0,5.0,52.0,3.0
37.44186,35.431755,116.0,0.0,97.27906976744185,7.0,0.0,7.0,7.0,75.0,3.0
34.347828,32.750187,108.0,0.0,90.58695652173913,106.0,0.0,106.0,106.0,201.0,3.0
38.857143,34.939793,116.0,0.0,98.26190476190476,15.5,12.5,28.0,3.0,36.5,3.0
42.146343,31.063711,102.0,0.0,101.70731707317073,29.0,35.505867,79.0,0.0,72.33333333333333,3.0
39.55814,38.06928,121.0,0.0,95.69767441860465,44.0,0.0,44.0,44.0,85.0,3.0
36.6,36.879627,114.0,0.0,92.82222222222222,23.5,15.5,39.0,8.0,59.5,3.0
39.90244,31.773441,110.0,2.0,100.29268292682927,24.0,20.0,44.0,4.0,60.0,3.0
37.666668,39.024208,122.0,0.0,93.31111111111112,21.0,14.0,35.0,7.0,56.0,3.0
38.09302,35.942986,106.0,0.0,99.62790697674419,24.0,0.0,24.0,24.0,89.0,3.0
37.659092,35.412468,113.0,0.0,93.75,32.5,14.5,47.0,18.0,63.5,3.0
41.25,37.4498,118.0,0.0,103.775,4.5,4.5,9.0,0.0,35.0,3.0
38.488373,37.910156,120.0,0.0,97.62790697674419,7.5,5.5,13.0,2.0,44.5,3.0
39.046513,37.180237,109.0,0.0,95.79069767441861,60.0,24.0,84.0,36.0,122.0,3.0
36.090908,38.57803,113.0,0.0,93.70454545454545,26.0,0.0,26.0,26.0,87.0,3.0
42.575,38.792324,122.0,0.0,102.9,12.0,11.0,23.0,1.0,53.5,3.0
37.066666,30.807215,109.0,0.0,91.57777777777778,25.5,25.5,51.0,0.0,62.5,3.0
37.454544,35.64181,117.0,0.0,93.18181818181819,1.0,0.0,1.0,1.0,79.0,3.0
39.727272,32.864296,112.0,0.0,95.25,15.5,8.5,24.0,7.0,84.5,3.0
38.809525,37.157475,122.0,0.0,100.28571428571429,63.0,0.0,63.0,63.0,132.0,3.0
38.675,40.176727,126.0,0.0,103.9,49.0,33.0,82.0,16.0,103.5,3.0
37.52381,35.918053,117.0,0.0,99.64285714285714,1.5,0.5,2.0,1.0,38.5,3.0
37.31818,37.91484,125.0,0.0,94.20454545454545,1.0,0.0,1.0,1.0,90.0,3.0
39.70213,34.91321,115.0,0.0,90.61702127659575,47.0,47.0,94.0,0.0,103.0,3.0
39.727272,37.217644,115.0,0.0,95.27272727272727,21.0,14.0,35.0,7.0,68.0,3.0
39.34884,39.15199,120.0,0.0,95.81395348837209,32.0,0.0,32.0,32.0,86.0,3.0
40.536587,35.695934,114.0,0.0,99.97560975609755,21.0,21.0,42.0,0.0,80.0,3.0
35.025,35.989918,109.0,0.0,102.45,108.0,0.0,108.0,108.0,201.0,3.0
38.595238,41.251297,126.0,0.0,98.61904761904762,21.5,15.5,37.0,6.0,51.5,3.0
39.755554,31.23257,107.0,1.0,91.91111111111111,16.5,8.5,25.0,8.0,41.0,3.0
40.7,39.270344,117.0,0.0,105.175,45.0,45.0,90.0,0.0,103.0,3.0
38.162792,37.729717,120.0,0.0,95.69767441860465,31.5,23.5,55.0,8.0,65.5,3.0
42.80488,34.972614,118.0,0.0,100.58536585365853,28.0,27.0,55.0,1.0,61.0,3.0
42.55,35.86917,115.0,0.0,103.9,39.5,39.5,79.0,0.0,64.5,3.0
38.2093,41.27534,118.0,0.0,95.97674418604652,58.5,43.5,102.0,15.0,103.5,3.0
39.56818,36.440113,114.0,0.0,95.36363636363636,89.0,0.0,89.0,89.0,138.0,3.0
41.09756,35.22112,115.0,1.0,101.2439024390244,37.0,0.0,37.0,37.0,85.0,3.0
38.977272,39.00145,129.0,0.0,93.25,9.0,0.0,9.0,9.0,68.0,3.0
